dataset,old_name,item_text,scale,category,label,item_name,year,new_name,reverse,mini,maxi,recode
,PERSNR,Never Changing Person ID,,Procedural,,SID,0,Procedural__SID,1,,,
,hhnr,household ID,,Procedural,,household,0,Procedural__household,1,,,
vp,vp14702,Year of Birth,,Demographic,,DOB,2005,Demographic__DOB.2005,1,,,
wp,wp12402,Year of Birth,,Demographic,,DOB,2006,Demographic__DOB.2006,1,,,
xp,xp13102,Year of Birth,,Demographic,,DOB,2007,Demographic__DOB.2007,1,,,
yp,YP14802,Year of Birth,,Demographic,,DOB,2008,Demographic__DOB.2008,1,,,
zp,ZP12902,Year of Birth,,Demographic,,DOB,2009,Demographic__DOB.2009,1,,,
bap,BAP15002,Year of Birth,,Demographic,,DOB,2010,Demographic__DOB.2010,1,,,
bbp,BBP13202,Year of Birth,,Demographic,,DOB,2011,Demographic__DOB.2011,1,,,
bcp,BCP12803,Year of Birth,,Demographic,,DOB,2012,Demographic__DOB.2012,1,,,
bdp,BDP13403,Year of Birth,,Demographic,,DOB,2013,Demographic__DOB.2013,1,,,
bep,bep12603,Year of Birth,,Demographic,,DOB,2014,Demographic__DOB.2014,1,,,
bfp,bfpbirthy,Year of Birth,,Demographic,,DOB,2015,Demographic__DOB.2015,1,,,
vp,vp14701,Sex,,Demographic,,Sex,2005,Demographic__Sex.2005,1,,,
wp,wp12401,Sex,,Demographic,,Sex,2006,Demographic__Sex.2006,1,,,
xp,xp13101,Sex,,Demographic,,Sex,2007,Demographic__Sex.2007,1,,,
yp,YP14801,Sex,,Demographic,,Sex,2008,Demographic__Sex.2008,1,,,
zp,ZP12901,Sex,,Demographic,,Sex,2009,Demographic__Sex.2009,1,,,
bap,BAP15001,Sex,,Demographic,,Sex,2010,Demographic__Sex.2010,1,,,
bbp,BBP13201,Sex,,Demographic,,Sex,2011,Demographic__Sex.2011,1,,,
bcp,BCP12801,Sex,,Demographic,,Sex,2012,Demographic__Sex.2012,1,,,
bdp,BDP13401,Sex,,Demographic,,Sex,2013,Demographic__Sex.2013,1,,,
bep,bep12601,Sex,,Demographic,,Sex,2014,Demographic__Sex.2014,1,,,
bfp,bfpsex,Sex,,Demographic,,Sex,2015,Demographic__Sex.2015,1,,,
vp,VP12501 ,Thorough Worker,,Big 5,C,thorough,2005,Big 5__C_thorough.2005,1,1,8,
zp,ZP12001 ,Thorough Worker,,Big 5,C,thorough,2009,Big 5__C_thorough.2009,1,1,8,
bdp,BDP15101 ,Thorough Worker,,Big 5,C,thorough,2013,Big 5__C_thorough.2013,1,1,8,
vp,VP12502,Am communicative ,,Big 5,E,communic,2005,Big 5__E_communic.2005,1,1,8,
zp,ZP12002,Am communicative ,,Big 5,E,communic,2009,Big 5__E_communic.2009,1,1,8,
bdp,BDP15102,Am communicative ,,Big 5,E,communic,2013,Big 5__E_communic.2013,1,1,8,
vp,VP12503,Am sometimes too coarse with others ,,Big 5,A,coarse,2005,Big 5__A_coarse.2005,-1,1,8,
zp,ZP12003,Am sometimes too coarse with others ,,Big 5,A,coarse,2009,Big 5__A_coarse.2009,-1,1,8,
bdp,BDP15103,Am sometimes too coarse with others ,,Big 5,A,coarse,2013,Big 5__A_coarse.2013,-1,1,8,
vp,VP12504,Am original ,,Big 5,O,original,2005,Big 5__O_original.2005,1,1,8,
zp,ZP12004,Am original ,,Big 5,O,original,2009,Big 5__O_original.2009,1,1,8,
bdp,BDP15104,Am original ,,Big 5,O,original,2013,Big 5__O_original.2013,1,1,8,
vp,VP12505,Worry a lot ,,Big 5,N,worry,2005,Big 5__N_worry.2005,-1,1,8,
zp,ZP12005,Worry a lot ,,Big 5,N,worry,2009,Big 5__N_worry.2009,-1,1,8,
bdp,BDP15105,Worry a lot ,,Big 5,N,worry,2013,Big 5__N_worry.2013,-1,1,8,
vp,VP12506,Able to forgive ,,Big 5,A,forgive,2005,Big 5__A_forgive.2005,1,1,8,
zp,ZP12006,Able to forgive ,,Big 5,A,forgive,2009,Big 5__A_forgive.2009,1,1,8,
bdp,BDP15106,Able to forgive ,,Big 5,A,forgive,2013,Big 5__A_forgive.2013,1,1,8,
vp,VP12507,Tend to be lazy ,,Big 5,C,lazy,2005,Big 5__C_lazy.2005,-1,1,8,
zp,ZP12007,Tend to be lazy ,,Big 5,C,lazy,2009,Big 5__C_lazy.2009,-1,1,8,
bdp,BDP15107,Tend to be lazy ,,Big 5,C,lazy,2013,Big 5__C_lazy.2013,-1,1,8,
vp,VP12508,Am sociable ,,Big 5,E,sociable,2005,Big 5__E_sociable.2005,1,1,8,
zp,ZP12008,Am sociable ,,Big 5,E,sociable,2009,Big 5__E_sociable.2009,1,1,8,
bdp,BDP15108,Am sociable ,,Big 5,E,sociable,2013,Big 5__E_sociable.2013,1,1,8,
vp,VP12509,Value artistic experiences,,Big 5,O,artistic,2005,Big 5__O_artistic.2005,1,1,8,
zp,ZP12009,Value artistic experiences,,Big 5,O,artistic,2009,Big 5__O_artistic.2009,1,1,8,
bdp,BDP15109,Value artistic experiences,,Big 5,O,artistic,2013,Big 5__O_artistic.2013,1,1,8,
vp,VP12510,Somewhat nervous,,Big 5,N,nervous,2005,Big 5__N_nervous.2005,-1,1,8,
zp,ZP12010,Somewhat nervous,,Big 5,N,nervous,2009,Big 5__N_nervous.2009,-1,1,8,
bdp,BDP15110,Somewhat nervous,,Big 5,N,nervous,2013,Big 5__N_nervous.2013,-1,1,8,
vp,VP12511,Carry out tasks efficiently,,Big 5,C,efficient,2005,Big 5__C_efficient.2005,1,1,8,
zp,ZP12011,Carry out tasks efficiently,,Big 5,C,efficient,2009,Big 5__C_efficient.2009,1,1,8,
bdp,BDP15111,Carry out tasks efficiently,,Big 5,C,efficient,2013,Big 5__C_efficient.2013,1,1,8,
vp,VP12512,Reserved,,Big 5,E,reserved,2005,Big 5__E_reserved.2005,-1,1,8,
zp,ZP12012,Reserved,,Big 5,E,reserved,2009,Big 5__E_reserved.2009,-1,1,8,
bdp,BDP15112,Reserved,,Big 5,E,reserved,2013,Big 5__E_reserved.2013,-1,1,8,
vp,VP12513,Friendly with others,,Big 5,A,friendly,2005,Big 5__A_friendly.2005,1,1,8,
zp,ZP12013,Friendly with others,,Big 5,A,friendly,2009,Big 5__A_friendly.2009,1,1,8,
bdp,BDP15113,Friendly with others,,Big 5,A,friendly,2013,Big 5__A_friendly.2013,1,1,8,
vp,VP12514,Have a lively imagination,,Big 5,O,imagin,2005,Big 5__O_imagin.2005,1,1,8,
zp,ZP12014,Have a lively imagination,,Big 5,O,imagin,2009,Big 5__O_imagin.2009,1,1,8,
bdp,BDP15114,Have a lively imagination,,Big 5,O,imagin,2013,Big 5__O_imagin.2013,1,1,8,
vp,VP12515,Deal well with stress,,Big 5,N,dealStress,2005,Big 5__N_dealStress.2005,1,1,8,
zp,ZP12015,Deal well with stress,,Big 5,N,dealStress,2009,Big 5__N_dealStress.2009,1,1,8,
bdp,BDP15115,Deal well with stress,,Big 5,N,dealStress,2013,Big 5__N_dealStress.2013,1,1,8,
vp,VP15307,Child Born,,Life Event,,ChldBrth,2005,Life Event__ChldBrth.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14107,Child Born,,Life Event,,ChldBrth,2006,Life Event__ChldBrth.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14807,Child Born,,Life Event,,ChldBrth,2007,Life Event__ChldBrth.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15407,Child Born,,Life Event,,ChldBrth,2008,Life Event__ChldBrth.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15607,Child Born,,Life Event,,ChldBrth,2009,Life Event__ChldBrth.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15907,Child Born,,Life Event,,ChldBrth,2010,Life Event__ChldBrth.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15110,Child Born,,Life Event,,ChldBrth,2011,Life Event__ChldBrth.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15010,Child Born,,Life Event,,ChldBrth,2012,Life Event__ChldBrth.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15710,Child Born,,Life Event,,ChldBrth,2013,Life Event__ChldBrth.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15010,Child Born,,Life Event,,ChldBrth,2014,Life Event__ChldBrth.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17310,Child Born,,Life Event,,ChldBrth,2015,Life Event__ChldBrth.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15310,Child Moved Out,,Life Event,,ChldMvOut,2005,Life Event__ChldMvOut.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14110,Child Moved Out,,Life Event,,ChldMvOut,2006,Life Event__ChldMvOut.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14813,Child Moved Out,,Life Event,,ChldMvOut,2007,Life Event__ChldMvOut.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15413,Child Moved Out,,Life Event,,ChldMvOut,2008,Life Event__ChldMvOut.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15613,Child Moved Out,,Life Event,,ChldMvOut,2009,Life Event__ChldMvOut.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15913,Child Moved Out,,Life Event,,ChldMvOut,2010,Life Event__ChldMvOut.2010,1,,,1 = experienced; 0 = did not experience
bbp,BBP15116,Child Moved Out,,Life Event,,ChldMvOut,2011,Life Event__ChldMvOut.2011,1,,,1 = experienced; 0 = did not experience
bcp,BCP15016,Child Moved Out,,Life Event,,ChldMvOut,2012,Life Event__ChldMvOut.2012,1,,,1 = experienced; 0 = did not experience
bdp,BDP15716,Child Moved Out,,Life Event,,ChldMvOut,2013,Life Event__ChldMvOut.2013,1,,,1 = experienced; 0 = did not experience
bep,BEP15016,Child Moved Out,,Life Event,,ChldMvOut,2014,Life Event__ChldMvOut.2014,1,,,1 = experienced; 0 = did not experience
bfp,BFP17316,Child Moved Out,,Life Event,,ChldMvOut,2015,Life Event__ChldMvOut.2015,1,,,1 = experienced; 0 = did not experience
vp,VP15316,Divorced,,Life Event,,Divorce,2005,Life Event__Divorce.2005,1,,,1 = experienced; 0 = did not experience
wp,WP14116,Divorced,,Life Event,,Divorce,2006,Life Event__Divorce.2006,1,,,1 = experienced; 0 = did not experience
xp,XP14819,Divorced,,Life Event,,Divorce,2007,Life Event__Divorce.2007,1,,,1 = experienced; 0 = did not experience
yp,YP15419,Divorced,,Life Event,,Divorce,2008,Life Event__Divorce.2008,1,,,1 = experienced; 0 = did not experience
zp,ZP15619,Divorced,,Life Event,,Divorce,2009,Life Event__Divorce.2009,1,,,1 = experienced; 0 = did not experience
bap,BAP15919,Divorced,,Life Event,,Divorce,2010,Life Event__Divorce.2010,1,,,1 = experienced; 0 = did not experience
