"RID","gender","age","education","miniIPIP20Agreeableness_1","miniIPIP20Agreeableness_2","miniIPIP20Agreeableness_3","miniIPIP20Agreeableness_4","miniIPIP20Conscientiousness_1","miniIPIP20Conscientiousness_2","miniIPIP20Conscientiousness_3","miniIPIP20Conscientiousness_4","miniIPIP20EmotionalStability_1","miniIPIP20EmotionalStability_2","miniIPIP20EmotionalStability_3","miniIPIP20EmotionalStability_4","miniIPIP20Extraversion_1","miniIPIP20Extraversion_2","miniIPIP20Extraversion_3","miniIPIP20Extraversion_4","miniIPIP20Intellect_1","miniIPIP20Intellect_2","miniIPIP20Intellect_3","miniIPIP20Intellect_4"
101046,"female",25,"GradOrProDegree",4.76332839162393,2.32746439946911,5,2,4.91825517437601,1,6,0.307274315418278,1.95625002090827,7.19394714646998,-0.96175418883143,5.38403398942187,3.21349675351019,4.10528901652143,4,5.38031070139516,4.07265143803388,2.51635890639835,2.18980545073898,2
181870,"female",48,"GradOrProDegree",4.23931395587863,3.16280676178653,4,2,3.1137134814666,4,4,2.3134904068092,4,4.52796402292565,3.06769786674896,2.80701953104985,2.85273744851448,2,5,4.29875155630699,5.69459073256933,1.3878201442907,0.516694398015974,2
214177,"female",18,"CurrentInUniv",4,2,3.73515152115366,2.39957777884583,5,3.91408132570183,3.91056752594472,2,5.15298465803707,3,2.95443527308311,4,1,3.27512793063821,4.1381063293471,4,5,3,2,1.42219308214923
222800,"male",50,"SomeCollege",7.89312759404862,0.545691426909147,8.19701874778697,1.03163430507332,7.01703539296571,3.17086599146853,6.02066767905988,0.89209723669465,2,5.46179752764939,2.0498456838174,4.26399880735261,7.58944086392882,2,8.35648324518777,3.23993101804556,4.70528112700195,2.01312100462219,2.60975042030765,2.72036251213577
243017,"female",22,"CurrentInUniv",2,1,5,2,5,6,5,4,6.67444697210995,4,4.80424787236663,4,5,-1.1609718157362,6,3,6,2,1,1
250447,"male",21,"SomeCollege",6.26679548033844,3.19022251615035,4,5,2.38943710865809,1,4,2.80593154236814,4,4.40731748362962,1,-0.465397210128008,2.56307790568928,6,1,4.89735648898257,6.37985703788166,2.41771265025549,3.7031025081817,1
258140,"female",18,"less12yrs",2.24163311740953,6.14962970712534,4,3,2.84603925433867,1,3,2.44139707502927,3,5.29854963518104,2.26913549033664,3.99711217393078,5.4032347608088,1,6,2.35512083535235,4.21130708722835,2.41712777425622,2.25562391534857,2
296748,"female",45,"GradOrProDegree",5,4,4.3093138447882,2.20168835079698,1,1.71663211033885,1.70933062295882,2,6,2,5.22184042174388,1,3,4,4.41012809144057,3,6,1,1,1.71981648099554
304410,"female",35,"CurrentInUniv",6,1,6,1,4,2,4,1,4.43944229111739,5,2.15176774882419,3,4,1.58819583477206,6,2,6,1,1,1
362423,"female",17,"less12yrs",6,6,6,2,5,4,2,4,0.871772607886135,5,2.7502805035143,6,5,2.80442491071766,1,4,6,4,2,1
386650,"female",19,"CurrentInUniv",5,2,3.72499630277413,3.35398175001229,1,5.32915354915332,2.82757005673685,4,7.2674431738454,2,6,1,2,4.16056009292622,0.701828254813293,6,5,2,5,2.43308015278402
422829,"male",22,"CurrentInUniv",5,3,3.22044788090329,1.82834048806957,3,3.60990094718886,3.43764838276922,2,3,4,3.44634371554618,3,5,3,6.07011650122871,3,4,3,2,2.79060278173728
428304,"female",50,"GradOrProDegree",5,3,7.63428727853236,2.17379939654136,5,3.1037825437149,4.37747869365704,4,3.76199415467763,4,3.54379990753079,2,1,3.11063282739408,0.592958806296442,5,5,2,3,1.88711263379656
