"RID","gender","age","education","IPIP50Agreeableness_1","IPIP50Agreeableness_2","IPIP50Agreeableness_3","IPIP50Agreeableness_4","IPIP50Agreeableness_5","IPIP50Agreeableness_6","IPIP50Agreeableness_7","IPIP50Agreeableness_8","IPIP50Agreeableness_9","IPIP50Agreeableness_10","IPIP50Conscientiousness_1","IPIP50Conscientiousness_2","IPIP50Conscientiousness_3","IPIP50Conscientiousness_4","IPIP50Conscientiousness_5","IPIP50Conscientiousness_6","IPIP50Conscientiousness_7","IPIP50Conscientiousness_8","IPIP50Conscientiousness_9","IPIP50Conscientiousness_10","IPIP50EmotionalStability_1","IPIP50EmotionalStability_2","IPIP50EmotionalStability_3","IPIP50EmotionalStability_4","IPIP50EmotionalStability_5","IPIP50EmotionalStability_6","IPIP50EmotionalStability_7","IPIP50EmotionalStability_8","IPIP50EmotionalStability_9","IPIP50EmotionalStability_10","IPIP50Extraversion_1","IPIP50Extraversion_2","IPIP50Extraversion_3","IPIP50Extraversion_4","IPIP50Extraversion_5","IPIP50Extraversion_6","IPIP50Extraversion_7","IPIP50Extraversion_8","IPIP50Extraversion_9","IPIP50Extraversion_10","IPIP50Intellect_1","IPIP50Intellect_2","IPIP50Intellect_3","IPIP50Intellect_4","IPIP50Intellect_5","IPIP50Intellect_6","IPIP50Intellect_7","IPIP50Intellect_8","IPIP50Intellect_9","IPIP50Intellect_10"
101046,"female",25,"GradOrProDegree",5,5,4.48709088522884,5.88930329945139,4.80015952730069,5,0.605988837929797,2,3.0642861408074,1.68158092194963,1.62140689020147,1.72161305881021,1,3,4.73802871278132,6,5.89482954122077,4.87556428513474,6,4.48486991993568,1.58623585802384,2.07843316344603,3.68656082263078,4.89427348410694,3,4.38573485105164,4.6705221432546,2.4663959011509,3.86814662434533,2.03247604129284,2.2863829174603,2,3.23217629433091,4,3.3775157423156,3.14977958672488,3,4,3.94244985836927,2,4.2364023811214,6,5,3.83205649529535,4.16335039641059,3.95327331397913,3.60794428830891,2,2.5045961939872,2.52001818825574
181870,"female",48,"GradOrProDegree",4,4,3.88107383872075,5.77186614176016,5,2,1.8087821938761,2,2.45997419253523,4.52057170305664,5.15710246771499,2.67732650366556,4,3,5,4,4.82618088327499,3.83872925953268,2,2.46591144147236,2.06536802255116,4,3,4.10105931707391,4,4,2.68457793994911,3.11167377523857,3.44765369554114,5.10017809477485,5.1692429200144,5,4.12018812177162,5,4.23999584841189,2,3,3,3.96155983375599,2,6,6,4,5,6.07761234108688,4.82002963755032,4.16148824016159,2,0.168060781904364,0.133491555234179
214177,"female",18,"CurrentInUniv",4.50099774344554,5.08702425634472,4,5,5.03642536977298,5.057733462828,2,1.26070168450217,2,2,1,2,2.05292663638958,0.874470175390747,6.38574790072383,5.62058191477323,6,6,6.40193966158449,5,4,0.244827254965845,1.54987736668618,4,2.72977107144997,3.27623594159853,2,2.32618132088535,4,3,4,3.60064996538604,1,4.15920529473677,4,2.66785947929638,3.56995974815072,4.26230900062906,4,3.07614616703792,5.67324794378825,3.67747864658909,3.53986035507155,4.8034644075208,4,5,3,2.79567963601878,3,2
222800,"male",50,"SomeCollege",3.41864402120284,3.74828656466438,3.52746637159591,3.57235253947549,5,5.14788927770847,2.50286159887021,2.74150084836265,3.20506811098224,4.87483655326325,6.40544541738539,6.24794949270306,8.03260787223486,3.61707300166957,3,2.29596917668613,2.13070981405913,1.69740956086881,3.97542410944024,-1.22917496638519,3.21921221245186,2,3,3.54574009509866,4.93004883336639,3,2.69201677836266,4.05221625304359,3.920291936482,2.1542192957217,3.17105082653707,5.41432249357346,2.58998502183614,1.89941057316499,3.72170747011378,2,2.7790427459352,4.58572438835755,2.3321444568642,4.53146531254684,5,3.70196060833556,4.06627960356414,6,4.0003488008509,6.12706318430608,2.16273388193584,0.7715076607183,2.55117810820445,4.8756746323601
243017,"female",22,"CurrentInUniv",5,3,2,6,6.60320090548446,5,1,2,1,2,5,4,6,2,4.62693361934231,5,6,3,5,5,4,7.27811344530738,1.8647880444058,5,6,5.38133419730781,4,3.76412590020544,4,4,6,5,5,6,6,0.582314552138218,4,4,3,1,5.65731509992322,5,6,1.99101769526789,5,6,6,1,2,1
250447,"male",21,"SomeCollege",4,4,4.36733719985509,2.26693180167538,6,3,2.69637278155618,5,2.18532960765255,2.53321334128594,2.45138284813741,1.25642298812787,1,2,5,4,5.2372309129325,4.43991681201444,1,4.42663882440584,3.17531467579524,4,4,0.834180197760876,2,1,0.416479098372775,1,3.14794320711009,3.28200751188082,3.73888622895324,4,3.76328758739647,1,4.78894861930331,6,5,3,4.2157506909164,2,6,6,5,5,6.06787229638147,6.05078072036643,5.65209846105482,1,0.0628432013839038,-2.96289993878685
258140,"female",18,"less12yrs",4,4,3.13618175159051,4.62859269387138,5,4,2.60347299459632,3,0.508127916532361,3.73292463331674,3.40915767275395,1.4792115042873,1,3,3,3,4.63577319468373,4.42574216995813,4,1.25858510334198,1.41417009201372,3,3,2.38798970431991,5,5,2.2946638339511,2.41370218241556,2.94437846879303,1.71369523460317,5.84189594048874,6,6.21121738576702,6,5.24416179862138,1,2,1,0.809025959990957,1,6,3,1,4,3.69948602483435,4.71292744150364,1.82341336475632,2,3.58895510410213,1.49171901197243
296748,"female",45,"GradOrProDegree",5.76697825652117,4.37490813897095,5,5,6,4.70484195859167,1,2.40932413935899,4,3,4,2,2.7770155425333,4.70457227369897,5,3.19414617048321,6,4,2.76926652682572,1,1,6,5,5,5.20604029229788,6,5,3.88501432713454,1,2,4,4.11856264910864,3,4.11901850717935,3,4,4.34504250684507,4.4211567441575,3,2.9896941202409,6,4.65410556715382,6.09738622054825,6,6,6,5,0.275004511780668,1,1
304410,"female",35,"CurrentInUniv",6,6,6,6,7.48797022768601,6,1,1,1,2,4,1,2,2,5.3006784776962,4,6,6,3,4,1,6.7837236661919,3.1672644152276,5,5,3.49220892522241,3,3.56215177419175,3,5,6,5,4,6,6,2.20719799032795,3,1,2,3,7.76010680730399,5,5,6.09007296915522,6,6,5,1,1,1
362423,"female",17,"less12yrs",6,5,6,4,7.09543647214733,5,2,2,6,2,4,4,4,2,4.07156881878355,2,5,3,5,5,3,4.02770148844273,3.19528377418064,2,6,-1.3549772651375,2.87771993948869,2.88283277684831,6,5,4,5,5,1,2,3.57832320421191,5,6,4,5,2.68940599967499,5,2,2.56492368246677,4,6,2,1,4,2
