"RID","age","gender","BMI","exer","logMedInc","A_1","A_10","A_2","A_3","A_4","A_5","A_6","A_7","A_8","A_9","C_1","C_10","C_2","C_3","C_4","C_5","C_6","C_7","C_8","C_9","E_1","E_10","E_2","E_3","E_4","E_5","E_6","E_7","E_8","E_9","N_1","N_10","N_2","N_3","N_4","N_5","N_6","N_7","N_8","N_9","O_1","O_10"
3078429,27,"female",27.95,"1or2wk",10.716282695362,5.50998475682855,3,5.95418342777678,5.89742794652656,6.50024117986799,4.98250422277151,7.14541907017828,5,5.16390482859858,4.96124508941055,5.23391334928211,5.25457267316914,3.37748548356817,6.01458420068804,4.51091707165245,4.32079083740737,5.06547186113111,5.35143633667213,3.08988194968949,5.50624934645736,7.07031850864835,6,5.02082832791092,5.4391710155855,6.10833360167715,7.01076229653114,7.09416618365013,3.79513974141752,5.60466205406047,7.14980982444002,4.53896545952344,4.48958500900981,4.58722222831857,5.06896856985419,7.47881804428256,6.15983480009796,7.28126764806964,8.24690648690482,4.73661353025918,3.89804689178236,4,4.01177972018668
4310942,35,"female",28.41,"3or5wk",10.6804702390083,6.11363191535928,4.02159209193426,5.76478885138712,5.24537004975277,5.3086725472672,5.88814808358771,3.59435566732995,1.71644919384658,4.93715080995589,3.7524925413451,3,1.67179189844097,4.360610334471,6.17026789347137,5.47082358430829,5.99539873351118,6.04895471037306,6.19657916743849,5,3.76581267437402,5.6281084227833,6,6.77627302581629,5.04073348459652,4.65665887524473,4.41119842626497,4.19463509280615,6.35599920734061,3.38994158248654,3.50252603619647,1.93579258764863,0.885479799862377,4.25184500216249,3.15896381994904,5.67547994394741,5,1.48686675100831,4,1,3.75518614644041,7.55905119672472,6
4490500,20,"female",19.13,"veryRarelyNever",11.7720382954042,6,6,6.5707266846614,5.52918470819593,5.07548165531923,5,6,5.14011543153244,6.46797145317763,5.39756038286076,3.77014667800912,0.520951094570173,3.99272001505049,3.31112580354595,3.05493398863797,3.13976204112509,4,3.8279696383819,3.81318527576994,5.06815180303972,4.42852941043924,4.05404276965513,4.35561340285336,3.12840642740568,3.75565257092636,5.44005822859301,4.46945038709802,2.57437122979549,1.84909374788578,5.54311867323721,2.29813882852171,4,2.66312203872174,3.79923432992288,2.27446833897314,3.84306004979937,3.03326827368357,5.22610820251424,3.14604863115604,3.45592015990557,4.52260839952751,4.93243855601832
5685808,16,"female",18.51,"more5wk",10.6055944744675,1,3.19281746045176,4.63958360654805,3.46158746429682,3.41058584304893,4.65371392810343,3,3.08716758987158,3.89759529473579,3.0798442180365,1.88112404588285,2.33314613120605,1.49773212461533,1,4,4.22859910832849,3.87045873564869,2.65846461682911,2.1212268845103,3.82853100112037,3.42399489478974,4.51143962698555,1.51540563267836,1.48556512813393,2.48678170017246,4.25164936010794,3.87910670152963,1.04414423900408,2.8041844610761,2.22294241823416,3.04336452322886,4.28008775905239,3.92190863805822,4.08091188965909,4.55339090019605,5.19482039036926,4.95085143710689,2.79473899755204,2.9376008510467,2.31307242623096,5.90628130859485,4.6037215220628
6840255,34,"female",20.98,"more5wk",11.0440092442814,5.82666730598829,2.55215914680889,3.92738522420581,3.76558434647369,4,4.77568878887613,3.77425078856671,5,3.38068949016296,3.00961852746461,3.44521165832241,4.53854663480312,3.13361996074917,6.48086770566303,4.87879031701619,6,5.23269352340664,3.87304818815974,5,3.70426937101768,2.76651408653016,4.60482973387371,3.90151428388932,2.04694180160905,0.840123173201865,4.54150647809104,2.95523048256065,3,0.79600198900463,2.40048673217697,4.15032080353859,5.24552410118423,5.0389917446765,3.35252452029189,3.85896853328141,5.27257351345744,3.70894363976231,2.38210371313714,3.88284613968271,6.31202692396434,6.44180790118029,5.03798136697175
8502069,27,"female",41.97,"veryRarelyNever",10.621473676443,4.71063294921055,4.38373882400107,4.34242155640156,5,4.99496594179269,3.64832210293816,6.33782372270339,5.38466409887698,4.30645867428345,5.00704744799657,4.01207965503739,1.84434323336847,5.27840352312978,2.64976065053595,4.57050691434137,3.98356516312348,2.48199276590916,4.15977452952478,1.66746679719642,1.33019715490259,5,6,6,3.65265886612142,6.36064764489744,4.58936850054237,6.34028528846817,4.97689967173519,5.18734299353117,5.96131910649054,4.64146019408078,3.81530338206411,4.22116822321753,1.93420254723633,5.71303854266822,4.64123882766139,3.11031339103001,5,4.29201322639002,0.53211437637164,4.60142763317132,4.88611352280522
9322885,40,"female",31.79,"veryRarelyNever",10.4421423282208,5.03853907634642,1,2,4.19371759235777,4,6,1,-1.53772095312455,1.78207120185886,1,2.57276220009905,0.818611784902661,1.94980115631588,3.99929461468685,2,4.50627568050415,2.90340996620019,6,4,1,4.88803094022225,5.17435838971391,6,2.89544557318025,1,2.76100938219089,3.9769496667564,3.68294951612782,2,4.39550193023478,4,1.26710797370646,5.50657796067358,6.39283874203987,5.03740293698728,5.39534152064183,6,3.53665378102254,5,5,5.84365037528639,5
10073564,17,"male",20.98,"less1wk",11.2709303339707,3.56916396945157,2.40103682587647,5.49184039423774,4.39725014713582,5.61257768117339,5.23838327758096,5.35415853722957,3,4.61409655440676,2.95954234899228,3,3.24060077905538,3.66312708942231,3.29489840524977,4.55291596597421,4.38162558183513,4.60930207882193,6.60463888449385,3.21177874068121,4.16277386763686,4.12757227774926,4.49989985831624,3.55764525268938,4.3372677305963,4.38339353385674,4.93588176317793,3.90817534513542,3.88889757906789,4.85506920833111,5.5820200094262,1.95125545719302,2,0.31910049055491,0.141989910118543,3.77437720248622,-0.0106009639340376,4.98996751752266,2.74022704609528,2,2.06911556835542,6.12857027151529,4.7422259088759
13803993,21,"female",23.89,"less1wk",11.1412964063925,4.74822485781328,5,4.0088245956163,5.88019026148765,4.63044423048801,5.88224447681461,5,4.63414362684271,5.26796140007942,1.66669999193948,3.71501538841448,3.20825620653346,6.63058423977599,5.05910236200193,4.47387741724256,4.44252759317248,6.90296774775312,5.16714693384339,3.71134712006766,6.74909092177597,4.0551635327406,3,2,2.80604690510384,2.34559410471742,3.92403567947614,1.14017661927963,3.05539193264826,1.98640161858458,1.32673891312083,3.90509891589384,2.18630113869561,4.43994257260443,3.96499949816025,4.4244581659165,3.05294341065265,4.05665444419485,5.53876974881553,4.08661556043019,2.92018250260369,4,3.42858500459819
18551547,31,"female",34.61,"less1wk",10.5867611492978,6.62532077920735,6,4.80758142985657,5.54076290048228,5.36251248924268,4.56890070821883,4.27033082337656,6.55547654217217,5.69898918483473,6.70926130320301,2.00676712882723,3,3.05259412370576,0.705062937343837,4.00776709802184,3.76842303818076,3.44272650000123,5.01892830221616,2.27352403523723,2.3154069387413,3.91572660479941,4.50932029886741,5.01032896836184,2.62047809506525,3.37109930293189,3,3.52823743011042,4.93189898357854,2.58037910081116,3.7192080621146,0.712670128097854,2.10982559703033,5.97009996218152,3.28465475106875,3.49969872249716,6.69605280584927,3.47701669589962,3.54620365134468,1.65202218340812,3.60311892048754,4.63183736726246,4.53255215022642
19400669,20,"female",19.04,"1or2wk",10.9422967568335,5.54451127126917,5.15049130820776,2.00465451164764,4.37432395178811,4.00482210077766,5,5.81730539162962,3.09702680119986,1.80390617323571,6.77982975626021,2.68281256946111,3.58737650102053,3.56460201358839,3.69147987259105,5.13433105456038,3.34859952650092,3.80399756394644,4.39865565937289,4.06369650626106,4,3.45350967280628,4.94082942983257,6,2.75105658830751,2.59998021510172,3.8387773371202,2.40148639422654,4.19622732698534,2.95698292736765,2.12157435153543,3.34307021191635,5.14513877700987,3.7266835218931,3.83417901769613,5.0301984562838,1.57998793620097,4,5.03699491065443,3.80974086477075,4.90157679051215,4,3.16295899962017
22125189,15,"male",24.78,"3or5wk",11.5537122588709,5.45326634439863,3.6920344638255,4.37715056878854,5.03464757493199,4.39198047579265,1.93890522944924,4,3,4.52205994888769,4.03385102714923,3.15825165271251,3.35796529503066,4.0482561155224,2.51571927643442,2.52883276777442,5.60386933521498,4.71842178785189,5.36092894884003,2.76066307909048,1.10548754792931,3.34654640723732,4,3.91488810952968,4.23475398834296,3.2094937490252,3.66137849806467,3.52888232198811,3.14004775824155,0.825385344218495,3.15636225283853,5.15256034793533,3.56937396848354,7.11426111571823,3.80549765195764,5.87990537408035,7.05276999473862,7.19844713099068,6.33584118645281,5.51596715248231,5.89491454285124,4.08375096155371,4.54148331899633
23000723,16,"male",19.46,"veryRarelyNever",11.0318527993536,6.00929897373459,2.35799123537392,4,5.20511355505365,6.53545486771439,4.14427065059474,3.52398483273476,4.84626330167579,5.53477790017909,3.94909583468458,3.12472501975998,3.50615926275163,3.55908368027034,2.8834611565839,5.91725655850756,4.763307446171,4.62023712785438,4.21268530699038,2.65637434042378,2.62899924215644,5.51137595907581,7.51058710818923,5.22985490940285,3.27363671683219,5.96254160283898,6.21911518950377,6.35284102608031,5.41219523097256,6,4.4048925985174,3.61507647063012,4.27643921918667,5.42051915654271,3.68583054381847,3.69653234194947,4.88168626289273,3.79437404717433,3.2735710602086,3,5.43085980931117,5.54337562974097,7.0241183370856
24823277,45,"female",29.62,"less1wk",10.8867264001417,7.06216222151721,5,5.58187298834809,5.64949334177755,5.4993745230702,5.72495394268813,4.67996467356766,5,2.25918900489313,3.96881059861118,3.81546578036647,5,4.03614249171118,5.610013258065,2.79020223765952,5,3.93804180994715,5.15701927312707,2.71120557853871,1.48749918271879,4.92511954135362,4.56114014711751,2,3.53613798690512,6.20344964656683,5.37155584228349,5,2.65023856044395,3.78220221708487,3,4,4.45642783548397,5.21696203533335,2.79475560808103,3.4620332126646,3.72155901855687,4.51000770024375,3.10513248385416,3,3.31294564607309,4.54649397050204,4.08747404359046
25190511,23,"male",23.33,"less1wk",10.9076975824482,5.5161547849851,7.34415794804044,5,5.36404997794897,3.12184319860586,4.68306232485554,6.71797515493094,4,2.77965875966615,2.58663503987967,3.76444960523398,5.27173118444438,4.64413938402645,3.79880681504619,6,3.31820082435974,4.99755834316561,4.10981853809601,2.71504062552471,5,3.99771283323062,4.21535780998057,1.15405669416791,3.40746017569993,1.5877608249871,3.99269226547827,2.97012588378997,1.76069917646302,3.23473818665735,1,2,3.86738341936469,4.73256778748765,4.73415923321107,7.00689043913824,4.23730529619977,1.25621613747146,6.10038372513283,3.03898253714717,4.65409814860934,4.43950294852161,2.27452931763458
27417633,34,"female",19.26,"more5wk",11.3847624936938,5.13593025287762,3.79873662416187,4.63504881894172,3.98954250741761,4.99099605477012,5,5.04579724498614,4.63540467336865,4.07107424146682,6.79984116756265,3.0638588471191,3.93646964027021,4.22160373963566,5,4.06144366880369,4,5.84874325465081,4.24026410134716,4.68710493473627,5.08642359083855,4.18373346363369,3.94172778310365,3.78327327958862,1.89119745240255,2.3309114820877,4.7982531603084,3.16170312107951,2.88576005058189,4.09049840425203,3.2928114880866,5.495948635051,4.47481310421484,7.05631184347612,4.22574373492638,5.60148738185396,7.5144411849496,6.38423812611918,5.5108480634059,6.62513983391424,6.13614451296776,6.43665377274793,5.12769279795047
28277059,16,"female",19.14,"less1wk",11.5212209619943,3.7455189537576,6,3.42585837821782,4.71204798326741,5.27899274934683,3.27705634640948,2.73095347985043,2.92109090061551,5,4.96905894813666,1.05826418334319,1.44003736997235,4,1.13759462061105,5.02058275172548,4,3.53026906197425,4.82239706783451,2.70711019009287,3.06421185393098,4.22313349781193,3.2127806237345,4.66654470857669,1.49981358578608,3.28629170825861,4.12328636284112,2.51550510935456,3.56196412358139,1.94148043071181,3,5.38628410434899,5,4.15275584088321,6.11391027522851,5.42747696448392,3,3.14004323921283,4.66671945723594,3.48007876762085,4.80251639247576,6.39306768868084,4.91169645374793
28407735,22,"female",21.74,"veryRarelyNever",10.9158518091563,5.09580131997215,4.44294657495576,3.38855238661299,5,4.97495025890049,5.06055189297856,5.55579721370928,5.21959620743423,4.50512925460052,4.49167253285095,2.86592538867034,1.48216595412494,3.8837148095831,2.72032697982432,2.82285199028023,3.35694069885125,3.51240692929989,4.46416755111106,3.30425426430138,4,2.38193539696504,2.25472952571742,3.32444177319114,2,1.53143898390989,2.70369559658317,2.70489634904992,3.03747633709327,1.52391711049329,3.85277410160235,4.42282487276039,3,3.36263101985265,4.49175306476505,6,3.40552161861536,5.23370521197268,2.39291874729905,4.3285684763951,4.88017735512197,4.67827985986354,3.65740987487413
31241335,49,"female",24.78,"veryRarelyNever",10.5457887070902,2.29940015072056,5.35419065719856,3.35817775938475,2,3.01327596100032,2.82728535734698,2.54556917752572,3.59119692293149,3.27720660309646,6,2.17827348411586,2.37616502290382,3.22698963369355,1.51568239755662,3.33657887392027,3.44742333497862,3.38545745478535,5.84975703959427,2.19566305119841,3.36360834807207,2.98804302777169,4.13508716160073,3.27607629070483,0.233310822100115,2.11798585366335,4.46799798541484,3.54706431705375,1,4.13116774451135,3.45570306349836,3.98343686865387,4.4428537997348,1.7610297164192,2,3.21338327877734,2,1.0109487727188,2.24505351132223,3.38167045911022,2.56336881600811,5.36629347424682,5.88441649481093
34303619,18,"male",15.15,"3or5wk",10.6000538811417,4.75025349014893,6.71158420910866,4.64526357641115,5.4749466788744,3.99771286974691,3.16019407789397,4.87132397663408,5.96145324345139,4.25320408918818,2.16558704752784,7.05452651180991,3.16266947036116,5,4.87671462487525,4,3.92578889783746,6.45779203604043,5,2.09310094089282,4.64944166928482,4.28460763641523,3,1.41056907639995,1.27331259779547,0.374647789199394,2.48185928011771,1.81538500855528,3.05991294594148,2.11844133082978,2,3.6142092969092,3.21346331793092,2.59617982795811,3.42081767837509,4.37675520502845,2,3,4.00308760497455,2.34428250236387,6.05946233551622,2.61781817121229,4.49603274037008
34348498,21,"male",28.21,"less1wk",10.5022691070604,5.43080685191117,2.33901623238668,3.7861249458734,1.43588810589448,2,4.71923680786682,3.39346777722616,4,3.96287448428668,3,3.61024931613243,5.9841643236578,6.44887445930354,4.21683725321224,4.73497492545655,4,5.201823761249,4.18222289149641,4.8962596455938,5.34543474263742,3.46453773668209,4.41874920947784,4,4.85433119738611,4.5319718542352,3.28585655085009,3.82657555324768,4,3.00157432242512,5.32095085222915,1,4.16313514870489,6.14062893004554,1.93954797297958,5.93321556362338,6.50119877035046,5.90994335548778,6,5.36014267516158,3.57034401380949,4.7565363999488,4.79522001852517
39397830,38,"female",30.34,"3or5wk",9.97854864175801,5.8086350871846,5.38489391060069,6,4.57350114125026,5,5,6.13395303910961,4,3.29967066036834,3.85718090139098,3.61992515288169,5.13704368606043,2.18205397326889,4.12060268354688,2.98066920245919,4.56926149843937,3.61841730390197,5.9111648489311,4.38035446736028,5,4.40568882335694,1.55229461753262,4.23053213349047,2.68034310977726,5.35564821502967,5,2.74763749343365,3,2.44171506642193,3.82506733939341,3.6411922229641,1.51449228141291,3,3,5.84602948145502,5.80059722024536,4.84037724814471,3.83016060508125,3.35066875386462,0.505249815257187,5.53937493873818,4.65577729372328
39907575,19,"female",20.22,"more5wk",11.6134402590601,5.74755578588251,6.89233363202313,5.35660811385456,6.37962928085385,5,3.76686797288804,6.14354947273223,4.60218862615507,5.37618342518424,5.72311676056608,4.08047910724689,2.10361712192943,4.97464397943955,2.8232371884641,4.60435333055404,5,6.05701933404289,4.81117412018154,3.22114309632577,4.44973152889803,4.17253342233749,3.57708280524062,3.78152855631141,3.26625877800773,4.61291412365262,4,4.59635735314607,1.82182315318237,4.72387083988917,3.03272086216174,4.92503094628824,3.45357203977408,4.10595581018551,3.8552127009334,6.37796805315563,4.85399362796218,3.82052599597016,5.54178674980191,3.44629515488629,2.8188234182252,6.40237506052361,4.45410698228541
41504160,31,"female",23.26,"less1mo",10.5342272729675,4.62072491065691,3.97304831570791,2,5.1640463506184,4.80167018521174,5,4.35327580961716,3.07466547443961,4.69626525318226,2.21256377773435,2,0.685669832505654,4.14146434238392,3.3035283734661,3.1888886126052,3.73631584114381,4,5.73679603194923,5.2116233230322,2.28020506263835,5.07977688405796,4.24709145386251,4.82992566498702,1.98217058495195,1.7658677861296,4.16331758799074,5.62916384764286,3,3.17623821217181,3.19152480334324,5,2.41249069063432,5.28419922745751,4.92512085832806,5.94873162688726,5.15557633225592,6.03205445550061,7.11505501784512,5.36464699634325,3.54179248938567,4,2.61198881405038
42568666,21,"female",29.69,"less1mo",10.3029345883187,4.97628862236797,2.85344574391907,5.81249011515795,6,3.53066092393042,6.02541779002792,6,6.01735002724895,5.32335764785034,3.84652509724361,2.08590448629304,2.56191034063004,4.16975643633524,2.68288569104197,3.37825372994025,3.03665945505365,4.10248940612207,6,3.80413508234805,3.28312906319368,2.56708030549828,4,5,4.99306147918203,3.84671100645673,4.19239308267369,3.85759848056678,4.01956991001075,2.08720877023855,2.97227248561196,1.90443377447222,2.99954224817181,3.02231718240029,1.96601082009232,5,1.98073096681057,3.33056907657433,4.0602146839804,2.45522113934816,2.96039103937041,3.78010346086313,4
44576097,20,"female",23.56,"veryRarelyNever",10.3509899164354,4,4.77061422508526,5,6,6.16937368818546,4,3.95119464656454,4.85260081054662,6.15286088029976,5,2.29463142567835,3.1177549937182,1.20501405466756,3.51163292017425,3,4.7465323684254,2.71693233710906,4.94890367535778,4.53076688767365,4.90295302602934,4.90712324590324,4.63846578749739,4.42249833884794,3.21656074923247,4.1465717488349,5,4.51897341251934,5,5,1.84764680671188,3.92168240233217,4.04990573860435,1,1.09708544562184,3.82053542595073,2.78820211732747,3.79048898808399,2.92063358361792,1,2.6647665454481,5.17521642246296,2
